dataset,r,c,direction,method,balanced_accuracy_observed,balanced_accuracy_oracle
banknote_authentication,0.05,0.0,clean,tabpfn_threshold,1.0,1.0
banknote_authentication,0.05,0.05,majority_to_minority,tabpfn_threshold,0.9978213507625272,0.9967320261437908
banknote_authentication,0.05,0.05,minority_to_majority,tabpfn_threshold,0.993169398907104,0.993169398907104
banknote_authentication,0.05,0.1,majority_to_minority,tabpfn_threshold,0.9989106753812635,0.9989106753812635
banknote_authentication,0.05,0.1,minority_to_majority,tabpfn_threshold,0.9972677595628416,0.9972677595628416
banknote_authentication,0.05,0.2,majority_to_minority,tabpfn_threshold,0.9967320261437908,0.994553376906318
banknote_authentication,0.05,0.2,minority_to_majority,tabpfn_threshold,1.0,1.0
banknote_authentication,0.05,0.3,majority_to_minority,tabpfn_threshold,0.9978213507625272,0.9923747276688454
banknote_authentication,0.05,0.3,minority_to_majority,tabpfn_threshold,0.9986338797814208,0.9959016393442622
banknote_authentication,0.1,0.0,clean,tabpfn_threshold,1.0,1.0
banknote_authentication,0.1,0.05,majority_to_minority,tabpfn_threshold,1.0,0.9989106753812635
banknote_authentication,0.1,0.05,minority_to_majority,tabpfn_threshold,1.0,1.0
banknote_authentication,0.1,0.1,majority_to_minority,tabpfn_threshold,0.9967320261437908,0.9956427015250544
banknote_authentication,0.1,0.1,minority_to_majority,tabpfn_threshold,1.0,1.0
banknote_authentication,0.1,0.2,majority_to_minority,tabpfn_threshold,0.994553376906318,0.9923747276688454
banknote_authentication,0.1,0.2,minority_to_majority,tabpfn_threshold,1.0,1.0
banknote_authentication,0.1,0.3,majority_to_minority,tabpfn_threshold,1.0,0.9989106753812635
banknote_authentication,0.1,0.3,minority_to_majority,tabpfn_threshold,1.0,1.0
banknote_authentication,0.2,0.0,clean,tabpfn_threshold,1.0,1.0
banknote_authentication,0.2,0.05,majority_to_minority,tabpfn_threshold,1.0,1.0
banknote_authentication,0.2,0.05,minority_to_majority,tabpfn_threshold,1.0,1.0
banknote_authentication,0.2,0.1,majority_to_minority,tabpfn_threshold,0.9934640522875816,0.9934640522875816
banknote_authentication,0.2,0.1,minority_to_majority,tabpfn_threshold,1.0,1.0
banknote_authentication,0.2,0.2,majority_to_minority,tabpfn_threshold,1.0,1.0
banknote_authentication,0.2,0.2,minority_to_majority,tabpfn_threshold,1.0,1.0
banknote_authentication,0.2,0.3,majority_to_minority,tabpfn_threshold,1.0,0.9978213507625272
banknote_authentication,0.2,0.3,minority_to_majority,tabpfn_threshold,1.0,1.0
banknote_authentication,0.5,0.0,clean,tabpfn_threshold,1.0,1.0
banknote_authentication,0.5,0.05,majority_to_minority,tabpfn_threshold,1.0,1.0
banknote_authentication,0.5,0.05,minority_to_majority,tabpfn_threshold,1.0,1.0
banknote_authentication,0.5,0.1,majority_to_minority,tabpfn_threshold,1.0,1.0
banknote_authentication,0.5,0.1,minority_to_majority,tabpfn_threshold,1.0,1.0
banknote_authentication,0.5,0.2,majority_to_minority,tabpfn_threshold,1.0,1.0
banknote_authentication,0.5,0.2,minority_to_majority,tabpfn_threshold,1.0,1.0
banknote_authentication,0.5,0.3,majority_to_minority,tabpfn_threshold,0.994553376906318,0.954248366013072
banknote_authentication,0.5,0.3,minority_to_majority,tabpfn_threshold,1.0,1.0
blood_transfusion,0.05,0.0,clean,tabpfn_threshold,0.6537524366471735,0.6537524366471735
blood_transfusion,0.05,0.05,majority_to_minority,tabpfn_threshold,0.6189083820662767,0.60453216374269
blood_transfusion,0.05,0.05,minority_to_majority,tabpfn_threshold,0.6067251461988304,0.5906432748538012
blood_transfusion,0.05,0.1,majority_to_minority,tabpfn_threshold,0.628411306042885,0.6466861598440545
blood_transfusion,0.05,0.1,minority_to_majority,tabpfn_threshold,0.6503411306042886,0.6617933723196882
blood_transfusion,0.05,0.2,majority_to_minority,tabpfn_threshold,0.6369395711500975,0.6425438596491228
blood_transfusion,0.05,0.2,minority_to_majority,tabpfn_threshold,0.6103801169590644,0.5933235867446394
blood_transfusion,0.05,0.3,majority_to_minority,tabpfn_threshold,0.6839668615984404,0.6515594541910331
blood_transfusion,0.05,0.3,minority_to_majority,tabpfn_threshold,0.5847953216374269,0.5377680311890839
blood_transfusion,0.1,0.0,clean,tabpfn_threshold,0.682504873294347,0.682504873294347
blood_transfusion,0.1,0.05,majority_to_minority,tabpfn_threshold,0.6479044834307993,0.6483918128654972
blood_transfusion,0.1,0.05,minority_to_majority,tabpfn_threshold,0.6447368421052632,0.6427875243664718
blood_transfusion,0.1,0.1,majority_to_minority,tabpfn_threshold,0.6366959064327485,0.6510721247563352
blood_transfusion,0.1,0.1,minority_to_majority,tabpfn_threshold,0.6759259259259259,0.6656920077972709
blood_transfusion,0.1,0.2,majority_to_minority,tabpfn_threshold,0.682504873294347,0.6693469785575048
blood_transfusion,0.1,0.2,minority_to_majority,tabpfn_threshold,0.6761695906432749,0.6459551656920078
blood_transfusion,0.1,0.3,majority_to_minority,tabpfn_threshold,0.6461988304093568,0.6298732943469786
blood_transfusion,0.1,0.3,minority_to_majority,tabpfn_threshold,0.652046783625731,0.6413255360623782
blood_transfusion,0.2,0.0,clean,tabpfn_threshold,0.6693469785575049,0.6693469785575049
blood_transfusion,0.2,0.05,majority_to_minority,tabpfn_threshold,0.6661793372319688,0.6773879142300195
blood_transfusion,0.2,0.05,minority_to_majority,tabpfn_threshold,0.6673976608187134,0.6798245614035089
blood_transfusion,0.2,0.1,majority_to_minority,tabpfn_threshold,0.6759259259259259,0.6715399610136452
blood_transfusion,0.2,0.1,minority_to_majority,tabpfn_threshold,0.6817738791423001,0.6695906432748538
blood_transfusion,0.2,0.2,majority_to_minority,tabpfn_threshold,0.6259746588693957,0.6198830409356725
blood_transfusion,0.2,0.2,minority_to_majority,tabpfn_threshold,0.6559454191033138,0.6483918128654971
blood_transfusion,0.2,0.3,majority_to_minority,tabpfn_threshold,0.607943469785575,0.5830896686159844
blood_transfusion,0.2,0.3,minority_to_majority,tabpfn_threshold,0.6861598440545809,0.672514619883041
blood_transfusion,0.5,0.0,clean,tabpfn_threshold,0.6790935672514621,0.6790935672514621
blood_transfusion,0.5,0.05,majority_to_minority,tabpfn_threshold,0.6944444444444443,0.6749512670565302
blood_transfusion,0.5,0.05,minority_to_majority,tabpfn_threshold,0.6849415204678362,0.6939571150097467
blood_transfusion,0.5,0.1,majority_to_minority,tabpfn_threshold,0.6817738791423001,0.6639863547758286
