dataset,r,c,direction,method,psg
banknote_authentication,0.05,0.05,majority_to_minority,tabpfn_threshold,-0.0010893246187364536
banknote_authentication,0.05,0.05,minority_to_majority,tabpfn_threshold,0.0
banknote_authentication,0.05,0.1,majority_to_minority,tabpfn_threshold,0.0
banknote_authentication,0.05,0.1,minority_to_majority,tabpfn_threshold,0.0
banknote_authentication,0.05,0.2,majority_to_minority,tabpfn_threshold,-0.002178649237472796
banknote_authentication,0.05,0.2,minority_to_majority,tabpfn_threshold,0.0
banknote_authentication,0.05,0.3,majority_to_minority,tabpfn_threshold,-0.005446623093681824
banknote_authentication,0.05,0.3,minority_to_majority,tabpfn_threshold,-0.002732240437158584
banknote_authentication,0.1,0.05,majority_to_minority,tabpfn_threshold,-0.0010893246187364536
banknote_authentication,0.1,0.05,minority_to_majority,tabpfn_threshold,0.0
banknote_authentication,0.1,0.1,majority_to_minority,tabpfn_threshold,-0.0010893246187363426
banknote_authentication,0.1,0.1,minority_to_majority,tabpfn_threshold,0.0
banknote_authentication,0.1,0.2,majority_to_minority,tabpfn_threshold,-0.002178649237472574
banknote_authentication,0.1,0.2,minority_to_majority,tabpfn_threshold,0.0
banknote_authentication,0.1,0.3,majority_to_minority,tabpfn_threshold,-0.0010893246187364536
banknote_authentication,0.1,0.3,minority_to_majority,tabpfn_threshold,0.0
banknote_authentication,0.2,0.05,majority_to_minority,tabpfn_threshold,0.0
banknote_authentication,0.2,0.05,minority_to_majority,tabpfn_threshold,0.0
banknote_authentication,0.2,0.1,majority_to_minority,tabpfn_threshold,0.0
banknote_authentication,0.2,0.1,minority_to_majority,tabpfn_threshold,0.0
banknote_authentication,0.2,0.2,majority_to_minority,tabpfn_threshold,0.0
banknote_authentication,0.2,0.2,minority_to_majority,tabpfn_threshold,0.0
banknote_authentication,0.2,0.3,majority_to_minority,tabpfn_threshold,-0.002178649237472796
banknote_authentication,0.2,0.3,minority_to_majority,tabpfn_threshold,0.0
banknote_authentication,0.5,0.05,majority_to_minority,tabpfn_threshold,0.0
banknote_authentication,0.5,0.05,minority_to_majority,tabpfn_threshold,0.0
banknote_authentication,0.5,0.1,majority_to_minority,tabpfn_threshold,0.0
banknote_authentication,0.5,0.1,minority_to_majority,tabpfn_threshold,0.0
banknote_authentication,0.5,0.2,majority_to_minority,tabpfn_threshold,0.0
banknote_authentication,0.5,0.2,minority_to_majority,tabpfn_threshold,0.0
banknote_authentication,0.5,0.3,majority_to_minority,tabpfn_threshold,-0.04030501089324601
banknote_authentication,0.5,0.3,minority_to_majority,tabpfn_threshold,0.0
blood_transfusion,0.05,0.05,majority_to_minority,tabpfn_threshold,-0.01437621832358671
blood_transfusion,0.05,0.05,minority_to_majority,tabpfn_threshold,-0.016081871345029253
blood_transfusion,0.05,0.1,majority_to_minority,tabpfn_threshold,0.018274853801169555
blood_transfusion,0.05,0.1,minority_to_majority,tabpfn_threshold,0.011452241715399603
blood_transfusion,0.05,0.2,majority_to_minority,tabpfn_threshold,0.005604288499025278
blood_transfusion,0.05,0.2,minority_to_majority,tabpfn_threshold,-0.017056530214424992
blood_transfusion,0.05,0.3,majority_to_minority,tabpfn_threshold,-0.03240740740740733
blood_transfusion,0.05,0.3,minority_to_majority,tabpfn_threshold,-0.04702729044834297
blood_transfusion,0.1,0.05,majority_to_minority,tabpfn_threshold,0.0004873294346978696
blood_transfusion,0.1,0.05,minority_to_majority,tabpfn_threshold,-0.0019493177387913674
blood_transfusion,0.1,0.1,majority_to_minority,tabpfn_threshold,0.01437621832358671
blood_transfusion,0.1,0.1,minority_to_majority,tabpfn_threshold,-0.01023391812865504
blood_transfusion,0.1,0.2,majority_to_minority,tabpfn_threshold,-0.013157894736842146
blood_transfusion,0.1,0.2,minority_to_majority,tabpfn_threshold,-0.030214424951267027
blood_transfusion,0.1,0.3,majority_to_minority,tabpfn_threshold,-0.016325536062378188
blood_transfusion,0.1,0.3,minority_to_majority,tabpfn_threshold,-0.010721247563352798
blood_transfusion,0.2,0.05,majority_to_minority,tabpfn_threshold,0.011208576998050779
blood_transfusion,0.2,0.05,minority_to_majority,tabpfn_threshold,0.012426900584795453
blood_transfusion,0.2,0.1,majority_to_minority,tabpfn_threshold,-0.004385964912280715
blood_transfusion,0.2,0.1,minority_to_majority,tabpfn_threshold,-0.012183235867446296
blood_transfusion,0.2,0.2,majority_to_minority,tabpfn_threshold,-0.006091617933723259
blood_transfusion,0.2,0.2,minority_to_majority,tabpfn_threshold,-0.007553606237816757
blood_transfusion,0.2,0.3,majority_to_minority,tabpfn_threshold,-0.024853801169590573
blood_transfusion,0.2,0.3,minority_to_majority,tabpfn_threshold,-0.013645224171539905
blood_transfusion,0.5,0.05,majority_to_minority,tabpfn_threshold,-0.019493177387914118
blood_transfusion,0.5,0.05,minority_to_majority,tabpfn_threshold,0.009015594541910477
blood_transfusion,0.5,0.1,majority_to_minority,tabpfn_threshold,-0.017787524366471574
blood_transfusion,0.5,0.1,minority_to_majority,tabpfn_threshold,-0.010964912280701733
blood_transfusion,0.5,0.2,majority_to_minority,tabpfn_threshold,-0.024366471734892814
blood_transfusion,0.5,0.2,minority_to_majority,tabpfn_threshold,-0.014619883040935644
blood_transfusion,0.5,0.3,majority_to_minority,tabpfn_threshold,-0.12085769980506833
blood_transfusion,0.5,0.3,minority_to_majority,tabpfn_threshold,-0.056773879142300254
breast_cancer_wisconsin,0.05,0.05,majority_to_minority,tabpfn_threshold,0.0
breast_cancer_wisconsin,0.05,0.05,minority_to_majority,tabpfn_threshold,0.0
breast_cancer_wisconsin,0.05,0.1,majority_to_minority,tabpfn_threshold,-0.0023148148148147696
breast_cancer_wisconsin,0.05,0.1,minority_to_majority,tabpfn_threshold,-0.003968253968253954
breast_cancer_wisconsin,0.05,0.2,majority_to_minority,tabpfn_threshold,0.005621693121693028
breast_cancer_wisconsin,0.05,0.2,minority_to_majority,tabpfn_threshold,-0.003968253968253843
breast_cancer_wisconsin,0.05,0.3,majority_to_minority,tabpfn_threshold,-0.012235449735449766
breast_cancer_wisconsin,0.05,0.3,minority_to_majority,tabpfn_threshold,-0.0009920634920635996
breast_cancer_wisconsin,0.1,0.05,majority_to_minority,tabpfn_threshold,0.0
breast_cancer_wisconsin,0.1,0.05,minority_to_majority,tabpfn_threshold,0.0023148148148147696
breast_cancer_wisconsin,0.1,0.1,majority_to_minority,tabpfn_threshold,-0.0029761904761904656
breast_cancer_wisconsin,0.1,0.1,minority_to_majority,tabpfn_threshold,-0.003968253968253621
breast_cancer_wisconsin,0.1,0.2,majority_to_minority,tabpfn_threshold,0.003306878306878369
breast_cancer_wisconsin,0.1,0.2,minority_to_majority,tabpfn_threshold,-0.0016534391534391846
breast_cancer_wisconsin,0.1,0.3,majority_to_minority,tabpfn_threshold,-0.02083333333333326
breast_cancer_wisconsin,0.1,0.3,minority_to_majority,tabpfn_threshold,-0.02546296296296302
breast_cancer_wisconsin,0.2,0.05,majority_to_minority,tabpfn_threshold,0.0
breast_cancer_wisconsin,0.2,0.05,minority_to_majority,tabpfn_threshold,0.0
breast_cancer_wisconsin,0.2,0.1,majority_to_minority,tabpfn_threshold,-0.00462962962962965
breast_cancer_wisconsin,0.2,0.1,minority_to_majority,tabpfn_threshold,-0.0016534391534391846
breast_cancer_wisconsin,0.2,0.2,majority_to_minority,tabpfn_threshold,-0.007605820105820005
breast_cancer_wisconsin,0.2,0.2,minority_to_majority,tabpfn_threshold,0.0006613756613758071
breast_cancer_wisconsin,0.2,0.3,majority_to_minority,tabpfn_threshold,-0.028439153439153597
breast_cancer_wisconsin,0.2,0.3,minority_to_majority,tabpfn_threshold,0.0036375661375656065
breast_cancer_wisconsin,0.5,0.05,majority_to_minority,tabpfn_threshold,0.0016534391534388515
breast_cancer_wisconsin,0.5,0.05,minority_to_majority,tabpfn_threshold,-0.00396825396825351
breast_cancer_wisconsin,0.5,0.1,majority_to_minority,tabpfn_threshold,-0.011574074074073959
breast_cancer_wisconsin,0.5,0.1,minority_to_majority,tabpfn_threshold,-0.0009920634920631555
breast_cancer_wisconsin,0.5,0.2,majority_to_minority,tabpfn_threshold,-0.010582010582010581
breast_cancer_wisconsin,0.5,0.2,minority_to_majority,tabpfn_threshold,-0.008928571428571619
breast_cancer_wisconsin,0.5,0.3,majority_to_minority,tabpfn_threshold,-0.06613756613756627
breast_cancer_wisconsin,0.5,0.3,minority_to_majority,tabpfn_threshold,-0.03835978835978815
haberman_survival,0.05,0.05,majority_to_minority,tabpfn_threshold,0.0
haberman_survival,0.05,0.05,minority_to_majority,tabpfn_threshold,0.0
haberman_survival,0.05,0.1,majority_to_minority,tabpfn_threshold,0.03351449275362317
haberman_survival,0.05,0.1,minority_to_majority,tabpfn_threshold,0.0013586956521738358
haberman_survival,0.05,0.2,majority_to_minority,tabpfn_threshold,-0.019474637681159424
haberman_survival,0.05,0.2,minority_to_majority,tabpfn_threshold,-0.0018115942028984477
haberman_survival,0.05,0.3,majority_to_minority,tabpfn_threshold,0.015851449275362306
haberman_survival,0.05,0.3,minority_to_majority,tabpfn_threshold,-0.11367753623188404
haberman_survival,0.1,0.05,majority_to_minority,tabpfn_threshold,0.034420289855072395
haberman_survival,0.1,0.05,minority_to_majority,tabpfn_threshold,-0.0022644927536231707
haberman_survival,0.1,0.1,majority_to_minority,tabpfn_threshold,0.029891304347825942
haberman_survival,0.1,0.1,minority_to_majority,tabpfn_threshold,0.008152173913043459
haberman_survival,0.1,0.2,majority_to_minority,tabpfn_threshold,-0.011775362318840688
haberman_survival,0.1,0.2,minority_to_majority,tabpfn_threshold,0.008605072463768071
haberman_survival,0.1,0.3,majority_to_minority,tabpfn_threshold,-0.08514492753623182
haberman_survival,0.1,0.3,minority_to_majority,tabpfn_threshold,0.02943840579710133
haberman_survival,0.2,0.05,majority_to_minority,tabpfn_threshold,0.02717391304347827
haberman_survival,0.2,0.05,minority_to_majority,tabpfn_threshold,-0.0031702898550725056
haberman_survival,0.2,0.1,majority_to_minority,tabpfn_threshold,0.0022644927536232817
haberman_survival,0.2,0.1,minority_to_majority,tabpfn_threshold,0.0040760869565218405
haberman_survival,0.2,0.2,majority_to_minority,tabpfn_threshold,-0.02309782608695643
haberman_survival,0.2,0.2,minority_to_majority,tabpfn_threshold,-0.0063405797101449
haberman_survival,0.2,0.3,majority_to_minority,tabpfn_threshold,-0.12001811594202894
haberman_survival,0.2,0.3,minority_to_majority,tabpfn_threshold,-0.09963768115942018
haberman_survival,0.5,0.05,majority_to_minority,tabpfn_threshold,-0.007699275362318847
haberman_survival,0.5,0.05,minority_to_majority,tabpfn_threshold,-0.0031702898550725056
haberman_survival,0.5,0.1,majority_to_minority,tabpfn_threshold,-0.004981884057971064
haberman_survival,0.5,0.1,minority_to_majority,tabpfn_threshold,0.012228260869565188
haberman_survival,0.5,0.2,majority_to_minority,tabpfn_threshold,-0.10144927536231874
haberman_survival,0.5,0.2,minority_to_majority,tabpfn_threshold,-0.03170289855072461
haberman_survival,0.5,0.3,majority_to_minority,tabpfn_threshold,-0.015851449275362417
haberman_survival,0.5,0.3,minority_to_majority,tabpfn_threshold,-0.10190217391304346
htru2,0.05,0.05,majority_to_minority,tabpfn_threshold,0.0007087570875711213
htru2,0.05,0.05,minority_to_majority,tabpfn_threshold,0.001178761787617999
htru2,0.05,0.1,majority_to_minority,tabpfn_threshold,-0.00026062760627598713
htru2,0.05,0.1,minority_to_majority,tabpfn_threshold,-4.687546875481452e-05
htru2,0.05,0.2,majority_to_minority,tabpfn_threshold,-0.00016687666876713525
htru2,0.05,0.2,minority_to_majority,tabpfn_threshold,-0.0005975059750595868
htru2,0.05,0.3,majority_to_minority,tabpfn_threshold,0.0026169011690118094
htru2,0.05,0.3,minority_to_majority,tabpfn_threshold,-0.002826278262782811
htru2,0.1,0.05,majority_to_minority,tabpfn_threshold,-0.0003118781187813058
htru2,0.1,0.05,minority_to_majority,tabpfn_threshold,-0.0005037550375504019
htru2,0.1,0.1,majority_to_minority,tabpfn_threshold,-0.00031187811878108374
htru2,0.1,0.1,minority_to_majority,tabpfn_threshold,-0.0011656366563665976
htru2,0.1,0.2,majority_to_minority,tabpfn_threshold,0.0017587675876757913
htru2,0.1,0.2,minority_to_majority,tabpfn_threshold,-0.0014087640876407903
htru2,0.1,0.3,majority_to_minority,tabpfn_threshold,0.001010635106351243
htru2,0.1,0.3,minority_to_majority,tabpfn_threshold,0.0008800088000879835
htru2,0.2,0.05,majority_to_minority,tabpfn_threshold,9.812598125957805e-05
htru2,0.2,0.05,minority_to_majority,tabpfn_threshold,-0.00014937649376478568
htru2,0.2,0.1,majority_to_minority,tabpfn_threshold,8.937589375923594e-05
htru2,0.2,0.1,minority_to_majority,tabpfn_threshold,-0.0023312733127331953
htru2,0.2,0.2,majority_to_minority,tabpfn_threshold,-0.00028250282502839674
htru2,0.2,0.2,minority_to_majority,tabpfn_threshold,-0.0039025390253903947
htru2,0.2,0.3,majority_to_minority,tabpfn_threshold,0.0010618856188563397
htru2,0.2,0.3,minority_to_majority,tabpfn_threshold,-0.004295042950429262
htru2,0.5,0.05,majority_to_minority,tabpfn_threshold,0.0002475024750248078
htru2,0.5,0.05,minority_to_majority,tabpfn_threshold,-0.0005506305063049943
htru2,0.5,0.1,majority_to_minority,tabpfn_threshold,-0.0005300053000528715
htru2,0.5,0.1,minority_to_majority,tabpfn_threshold,-0.00171626716267137
htru2,0.5,0.2,majority_to_minority,tabpfn_threshold,0.0016256412564125133
htru2,0.5,0.2,minority_to_majority,tabpfn_threshold,-0.0014381393813935883
htru2,0.5,0.3,majority_to_minority,tabpfn_threshold,-0.0679381793817938
htru2,0.5,0.3,minority_to_majority,tabpfn_threshold,-0.004081290812907978
ionosphere,0.05,0.05,majority_to_minority,tabpfn_threshold,0.0
ionosphere,0.05,0.05,minority_to_majority,tabpfn_threshold,0.0
ionosphere,0.05,0.1,majority_to_minority,tabpfn_threshold,0.0024637681159419555
ionosphere,0.05,0.1,minority_to_majority,tabpfn_threshold,-0.006666666666666821
ionosphere,0.05,0.2,majority_to_minority,tabpfn_threshold,-0.01449275362318847
ionosphere,0.05,0.2,minority_to_majority,tabpfn_threshold,-0.01637681159420279
ionosphere,0.05,0.3,majority_to_minority,tabpfn_threshold,-0.029565217391304244
ionosphere,0.05,0.3,minority_to_majority,tabpfn_threshold,-0.033333333333333215
ionosphere,0.1,0.05,majority_to_minority,tabpfn_threshold,0.006666666666666599
ionosphere,0.1,0.05,minority_to_majority,tabpfn_threshold,0.0036231884057972286
ionosphere,0.1,0.1,majority_to_minority,tabpfn_threshold,-0.0036231884057972286
ionosphere,0.1,0.1,minority_to_majority,tabpfn_threshold,-0.003043478260869592
ionosphere,0.1,0.2,majority_to_minority,tabpfn_threshold,-0.012028985507246515
ionosphere,0.1,0.2,minority_to_majority,tabpfn_threshold,-0.0024637681159418445
ionosphere,0.1,0.3,majority_to_minority,tabpfn_threshold,0.007391304347825978
