dataset,seed,r,c,direction,realized_c,method,prior_mode,balanced_accuracy,worst_class_recall,auprc,macro_f1,minority_precision,minority_recall,auroc,brier,log_loss,ece
banknote_authentication,13,0.5,0.0,clean,0.0,xgb_none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00113153422717,0.0120688490569591,0.0113930570943789
banknote_authentication,13,0.5,0.0,clean,0.0,xgb_weighted,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0011130010243505,0.0119153996929526,0.0112491011924364
banknote_authentication,13,0.5,0.0,clean,0.0,xgb_ros,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009157776948995,0.011228647083044,0.0106973828256807
banknote_authentication,13,0.5,0.0,clean,0.0,xgb_smote,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010495593305677,0.0116583267226815,0.0110328026657754
banknote_authentication,13,0.5,0.0,clean,0.0,tabpfn_none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3629917467182793e-10,1.3770959412795492e-05,1.3815095236085737e-05
banknote_authentication,13,0.5,0.0,clean,0.0,tabpfn_threshold,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3629917467182793e-10,1.3770959412795492e-05,1.3815095236085737e-05
banknote_authentication,13,0.5,0.0,clean,0.0,tabpfn_threshold,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3629917467182793e-10,1.3770959412795492e-05,1.3815095236085737e-05
banknote_authentication,13,0.5,0.0,clean,0.0,tabpfn_distpfn,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.907206591932841e-19,2.360859841890259e-10,2.3608583821945163e-10
banknote_authentication,13,0.5,0.0,clean,0.0,tabpfn_distpfn,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.907206591932841e-19,2.360859841890259e-10,2.3608583821945163e-10
banknote_authentication,13,0.5,0.0,clean,0.0,tabpfn_distpfn_t,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3192304546975005e-11,3.252506846577493e-06,3.2525002502576357e-06
