dataset,method,prior_mode,r,c,direction,balanced_accuracy_mean,balanced_accuracy_std,worst_class_recall_mean,worst_class_recall_std,auprc_mean,auprc_std,macro_f1_mean,macro_f1_std,minority_precision_mean,minority_precision_std,minority_recall_mean,minority_recall_std,auroc_mean,auroc_std,brier_mean,brier_std,log_loss_mean,log_loss_std,ece_mean,ece_std,realized_c_mean,n_seeds
banknote_authentication,tabpfn_distpfn,observed,0.05,0.0,clean,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5284734329654676e-06,3.3466263434318583e-06,0.0002844537490213667,7.113428666925966e-05,0.0002826469359194,6.970292324399677e-05,0.0,3
banknote_authentication,tabpfn_distpfn,observed,0.05,0.05,majority_to_minority,0.9978213507625272,0.0018867655855870618,0.9956427015250545,0.0037735311711740594,1.0,0.0,0.9975465596074496,0.0021247417066194963,0.9945799457994579,0.004693904627557975,1.0,0.0,1.0,0.0,0.002914949683021667,0.0010354777542331507,0.0162790766382774,0.004942425881747147,0.013669947424210733,0.004839276688854158,0.0588235294117647,3
banknote_authentication,tabpfn_distpfn,observed,0.05,0.05,minority_to_majority,0.9931693989071039,0.01183094813913156,0.9863387978142075,0.023661896278263435,0.9999553912496931,7.726462199357891e-05,0.993833721248324,0.010680308091535362,1.0,0.0,0.9863387978142075,0.023661896278263435,0.9999642844387299,6.18611667406298e-05,0.004874713323586588,0.008218024764912023,0.0162994754971096,0.02227364751662728,0.008188672792607867,0.008361003509511248,0.0625,3
banknote_authentication,tabpfn_distpfn,observed,0.05,0.1,majority_to_minority,0.9989106753812637,0.0018867655855870217,0.9978213507625272,0.0037735311711740434,1.0,0.0,0.9987732798037249,0.0021247417066194564,0.997289972899729,0.00469390462755799,1.0,0.0,1.0,0.0,0.0031150167853469662,0.0019846151586743366,0.032933540886783096,0.005018932949530589,0.030920184853622967,0.0036878006337682893,0.1111111111111111,3
banknote_authentication,tabpfn_distpfn,observed,0.05,0.1,minority_to_majority,0.9931693989071038,0.008531418030598918,0.9863387978142076,0.0170628360611978,1.0,0.0,0.9938429253665341,0.007695926653323008,1.0,0.0,0.9863387978142076,0.0170628360611978,1.0,0.0,0.0034798515309012665,0.002572820285565808,0.014116394607335067,0.00467048362678018,0.0111246237050381,0.0020771747118494242,0.09375,3
banknote_authentication,tabpfn_distpfn,observed,0.05,0.2,majority_to_minority,0.9989106753812637,0.0018867655855870538,0.9978213507625272,0.0037735311711740755,1.0,0.0,0.9987732798037249,0.0021247417066194885,0.997289972899729,0.004693904627557958,1.0,0.0,1.0,0.0,0.008133231658872668,0.0017410035413670945,0.059687572065684,0.0032998433394999683,0.054819330920857605,0.003313190426835436,0.20000000000000004,3
banknote_authentication,tabpfn_distpfn,observed,0.05,0.2,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0009542029280660667,0.000574609213304701,0.014207458150227366,0.003653455052448437,0.0136852181115086,0.00335972448367417,0.1875,3
banknote_authentication,tabpfn_distpfn,observed,0.05,0.3,majority_to_minority,0.9989106753812637,0.0018867655855870698,0.9978213507625272,0.0037735311711740915,1.0,0.0,0.9987732798037249,0.0021247417066195045,0.997289972899729,0.004693904627557943,1.0,0.0,1.0,0.0,0.015964009966956,0.002441828640178917,0.0958672099946955,0.006384638453389894,0.08644583636810836,0.00546210088647216,0.3043478260869565,3
banknote_authentication,tabpfn_distpfn,observed,0.05,0.3,minority_to_majority,0.9931693989071039,0.011830948139131608,0.9863387978142075,0.023661896278263435,1.0,0.0,0.993833721248324,0.010680308091535362,1.0,0.0,0.9863387978142075,0.023661896278263435,1.0,0.0,0.004650963257199366,0.004172123598450189,0.031209975243564933,0.009259612480233615,0.0275329821578493,0.005222183135587822,0.3125,3
banknote_authentication,tabpfn_distpfn,observed,0.1,0.0,clean,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0706177993009466e-06,2.3409686841982053e-06,0.00019469559461310001,0.00012744050173860895,0.00019364544939459998,0.0001262667971672347,0.0,3
