method,direction,severe_c30,clean_c0
tabpfn_distpfn,majority_to_minority,0.7735455095305898,0.7984153963103646
tabpfn_distpfn,minority_to_majority,0.7302820000947752,0.7984153963103646
tabpfn_distpfn_t,majority_to_minority,0.7816665458850406,0.8020312654590243
tabpfn_distpfn_t,minority_to_majority,0.7204630567771642,0.8020312654590243
tabpfn_downsample,majority_to_minority,0.7977091813232854,0.8272486982013013
tabpfn_downsample,minority_to_majority,0.8049152074720929,0.8272486982013013
tabpfn_none,majority_to_minority,0.7473421834080815,0.7842830202810156
tabpfn_none,minority_to_majority,0.7170269358680359,0.7842830202810156
tabpfn_threshold,majority_to_minority,0.8300868723097737,0.845491482336176
tabpfn_threshold,minority_to_majority,0.828738233357776,0.845491482336176
xgb_none,majority_to_minority,0.7287848048375045,0.7603427936690044
xgb_none,minority_to_majority,0.6814267056587933,0.7603427936690044
xgb_ros,majority_to_minority,0.7510563087693615,0.7798863137669471
xgb_ros,minority_to_majority,0.7157402622087742,0.7798863137669471
xgb_smote,majority_to_minority,0.7580740824210064,0.785026889334395
xgb_smote,minority_to_majority,0.7319857547420234,0.785026889334395
xgb_weighted,majority_to_minority,0.7541632757339632,0.7814792258003646
xgb_weighted,minority_to_majority,0.7154150568282105,0.7814792258003646
