method,direction,CHR,level_2,break_even_distribution
tabpfn_distpfn,majority_to_minority,0.03125,>0.30,10.0
tabpfn_distpfn,majority_to_minority,0.03125,0.05,7.0
tabpfn_distpfn,majority_to_minority,0.03125,0.1,2.0
tabpfn_distpfn,majority_to_minority,0.03125,0.2,1.0
tabpfn_distpfn,majority_to_minority,0.03125,0.3,
tabpfn_distpfn,minority_to_majority,0.03125,>0.30,12.0
tabpfn_distpfn,minority_to_majority,0.03125,0.05,5.0
tabpfn_distpfn,minority_to_majority,0.03125,0.1,3.0
tabpfn_distpfn,minority_to_majority,0.03125,0.2,
tabpfn_distpfn,minority_to_majority,0.03125,0.3,
tabpfn_distpfn_t,majority_to_minority,0.025,>0.30,11.0
tabpfn_distpfn_t,majority_to_minority,0.025,0.05,7.0
tabpfn_distpfn_t,majority_to_minority,0.025,0.1,1.0
tabpfn_distpfn_t,majority_to_minority,0.025,0.2,
tabpfn_distpfn_t,majority_to_minority,0.025,0.3,1.0
tabpfn_distpfn_t,minority_to_majority,0.025,>0.30,12.0
tabpfn_distpfn_t,minority_to_majority,0.025,0.05,5.0
tabpfn_distpfn_t,minority_to_majority,0.025,0.1,2.0
tabpfn_distpfn_t,minority_to_majority,0.025,0.2,
tabpfn_distpfn_t,minority_to_majority,0.025,0.3,1.0
tabpfn_downsample,majority_to_minority,0.3166666666666666,>0.30,9.0
tabpfn_downsample,majority_to_minority,0.3166666666666666,0.05,5.0
tabpfn_downsample,majority_to_minority,0.3166666666666666,0.1,1.0
tabpfn_downsample,majority_to_minority,0.3166666666666666,0.2,
tabpfn_downsample,majority_to_minority,0.3166666666666666,0.3,
tabpfn_downsample,minority_to_majority,0.075,>0.30,13.0
tabpfn_downsample,minority_to_majority,0.075,0.05,6.0
tabpfn_downsample,minority_to_majority,0.075,0.1,1.0
tabpfn_downsample,minority_to_majority,0.075,0.2,
tabpfn_downsample,minority_to_majority,0.075,0.3,
tabpfn_threshold,majority_to_minority,0.11875,>0.30,10.0
tabpfn_threshold,majority_to_minority,0.11875,0.05,8.0
tabpfn_threshold,majority_to_minority,0.11875,0.1,1.0
tabpfn_threshold,majority_to_minority,0.11875,0.2,
tabpfn_threshold,majority_to_minority,0.11875,0.3,1.0
tabpfn_threshold,minority_to_majority,0.00625,>0.30,13.0
tabpfn_threshold,minority_to_majority,0.00625,0.05,5.0
tabpfn_threshold,minority_to_majority,0.00625,0.1,2.0
tabpfn_threshold,minority_to_majority,0.00625,0.2,
tabpfn_threshold,minority_to_majority,0.00625,0.3,
xgb_ros,majority_to_minority,0.1875,>0.30,11.0
xgb_ros,majority_to_minority,0.1875,0.05,4.0
xgb_ros,majority_to_minority,0.1875,0.1,3.0
xgb_ros,majority_to_minority,0.1875,0.2,2.0
xgb_ros,majority_to_minority,0.1875,0.3,
xgb_ros,minority_to_majority,0.125,>0.30,14.0
xgb_ros,minority_to_majority,0.125,0.05,2.0
xgb_ros,minority_to_majority,0.125,0.1,4.0
xgb_ros,minority_to_majority,0.125,0.2,
xgb_ros,minority_to_majority,0.125,0.3,
xgb_smote,majority_to_minority,0.25,>0.30,7.0
xgb_smote,majority_to_minority,0.25,0.05,5.0
xgb_smote,majority_to_minority,0.25,0.1,5.0
xgb_smote,majority_to_minority,0.25,0.2,1.0
xgb_smote,majority_to_minority,0.25,0.3,2.0
xgb_smote,minority_to_majority,0.1,>0.30,14.0
xgb_smote,minority_to_majority,0.1,0.05,4.0
xgb_smote,minority_to_majority,0.1,0.1,1.0
xgb_smote,minority_to_majority,0.1,0.2,1.0
xgb_smote,minority_to_majority,0.1,0.3,
xgb_weighted,majority_to_minority,0.15,>0.30,9.0
xgb_weighted,majority_to_minority,0.15,0.05,2.0
xgb_weighted,majority_to_minority,0.15,0.1,5.0
xgb_weighted,majority_to_minority,0.15,0.2,3.0
xgb_weighted,majority_to_minority,0.15,0.3,1.0
xgb_weighted,minority_to_majority,0.1,>0.30,14.0
xgb_weighted,minority_to_majority,0.1,0.05,2.0
xgb_weighted,minority_to_majority,0.1,0.1,3.0
xgb_weighted,minority_to_majority,0.1,0.2,
xgb_weighted,minority_to_majority,0.1,0.3,1.0
