family,direction,test,pair,stat,p,p_holm,significant,n_blocks
xgboost,majority_to_minority,friedman,,111.12935954343703,6.270139897018386e-24,,True,160
xgboost,majority_to_minority,wilcoxon,xgb_none vs xgb_weighted,,5.874429390253967e-19,3.52465763415238e-18,True,160
xgboost,majority_to_minority,wilcoxon,xgb_none vs xgb_ros,,3.777702698302349e-17,1.5110810793209395e-16,True,160
xgboost,majority_to_minority,wilcoxon,xgb_none vs xgb_smote,,1.9888538150315677e-17,9.944269075157837e-17,True,160
xgboost,majority_to_minority,wilcoxon,xgb_weighted vs xgb_ros,,0.0120179006334479,0.0240358012668958,True,160
xgboost,majority_to_minority,wilcoxon,xgb_weighted vs xgb_smote,,0.017228756413087,0.0240358012668958,True,160
xgboost,majority_to_minority,wilcoxon,xgb_ros vs xgb_smote,,0.0005963675970374,0.0017891027911122,True,160
xgboost,minority_to_majority,friedman,,198.87809523809537,7.371762865711852e-43,,True,160
xgboost,minority_to_majority,wilcoxon,xgb_none vs xgb_weighted,,2.39861591363754e-24,1.1993079568187701e-23,True,160
xgboost,minority_to_majority,wilcoxon,xgb_none vs xgb_ros,,5.874471767160797e-24,2.3497887068643187e-23,True,160
xgboost,minority_to_majority,wilcoxon,xgb_none vs xgb_smote,,2.2341938924371136e-25,1.3405163354622682e-24,True,160
xgboost,minority_to_majority,wilcoxon,xgb_weighted vs xgb_ros,,0.9498877029748516,0.9498877029748516,False,160
xgboost,minority_to_majority,wilcoxon,xgb_weighted vs xgb_smote,,2.693062073303521e-08,8.079186219910563e-08,True,160
xgboost,minority_to_majority,wilcoxon,xgb_ros vs xgb_smote,,1.4770288403993094e-07,2.954057680798619e-07,True,160
tabpfn,majority_to_minority,friedman,,173.24508050089457,2.103413225955236e-36,,True,120
tabpfn,majority_to_minority,wilcoxon,tabpfn_none vs tabpfn_threshold,,5.647950710337133e-20,5.647950710337133e-19,True,120
tabpfn,majority_to_minority,wilcoxon,tabpfn_none vs tabpfn_distpfn,,7.387877758249992e-11,2.9551511032999974e-10,True,120
tabpfn,majority_to_minority,wilcoxon,tabpfn_none vs tabpfn_distpfn_t,,2.7610408143140557e-12,1.6566244885884335e-11,True,120
tabpfn,majority_to_minority,wilcoxon,tabpfn_none vs tabpfn_downsample,,3.2906690948944567e-12,1.6566244885884335e-11,True,120
tabpfn,majority_to_minority,wilcoxon,tabpfn_threshold vs tabpfn_distpfn,,6.303674002756045e-17,5.673306602480443e-16,True,120
tabpfn,majority_to_minority,wilcoxon,tabpfn_threshold vs tabpfn_distpfn_t,,2.6603291254878428e-15,2.1282633003902742e-14,True,120
tabpfn,majority_to_minority,wilcoxon,tabpfn_threshold vs tabpfn_downsample,,1.2456379560858055e-14,8.719465692600639e-14,True,120
tabpfn,majority_to_minority,wilcoxon,tabpfn_distpfn vs tabpfn_distpfn_t,,1.3347661029965611e-06,4.004298308989684e-06,True,120
tabpfn,majority_to_minority,wilcoxon,tabpfn_distpfn vs tabpfn_downsample,,0.0008561024111609,0.0017122048223219,True,120
tabpfn,majority_to_minority,wilcoxon,tabpfn_distpfn_t vs tabpfn_downsample,,0.0068056066163335,0.0068056066163335,True,120
tabpfn,minority_to_majority,friedman,,332.65314541079425,9.746578742530456e-71,,True,160
tabpfn,minority_to_majority,wilcoxon,tabpfn_none vs tabpfn_threshold,,2.3085514823563177e-25,2.308551482356318e-24,True,160
tabpfn,minority_to_majority,wilcoxon,tabpfn_none vs tabpfn_distpfn,,3.1325793782706955e-06,3.1325793782706955e-06,True,160
tabpfn,minority_to_majority,wilcoxon,tabpfn_none vs tabpfn_distpfn_t,,7.196479215574376e-07,1.4392958431148752e-06,True,160
tabpfn,minority_to_majority,wilcoxon,tabpfn_none vs tabpfn_downsample,,3.851275474552589e-25,3.46614792709733e-24,True,160
tabpfn,minority_to_majority,wilcoxon,tabpfn_threshold vs tabpfn_distpfn,,4.378158094668919e-25,3.502526475735135e-24,True,160
tabpfn,minority_to_majority,wilcoxon,tabpfn_threshold vs tabpfn_distpfn_t,,2.0336690974516875e-24,1.4235683682161812e-23,True,160
tabpfn,minority_to_majority,wilcoxon,tabpfn_threshold vs tabpfn_downsample,,5.767873239050531e-14,2.3071492956202124e-13,True,160
tabpfn,minority_to_majority,wilcoxon,tabpfn_distpfn vs tabpfn_distpfn_t,,5.7418310809347305e-08,1.7225493242804193e-07,True,160
tabpfn,minority_to_majority,wilcoxon,tabpfn_distpfn vs tabpfn_downsample,,8.154265730141724e-19,4.892559438085033e-18,True,160
tabpfn,minority_to_majority,wilcoxon,tabpfn_distpfn_t vs tabpfn_downsample,,1.9580819315983784e-14,9.790409657991893e-14,True,160
